(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
Enterochelin	O=C(N[C@H]1COC(=O)[C@@H](NC(=O)c2cccc(O)c2O)COC(=O)[C@@H](NC(=O)c2cccc(O)c2O)COC1=O)c1cccc(O)c1[O-]	SERBHKJMVBATSJ-BZSNNMDCSA-M
Ethanesulfonate	CCS(=O)(=O)[O-]	CCIVGXIOQKPBKL-UHFFFAOYSA-M
Ethanol	CCO	LFQSCWFLJHTTHZ-UHFFFAOYSA-N
Ethanolamine	[NH3+]CCO	HZAXFHJVJLSVMW-UHFFFAOYSA-O
FMN	Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C	ANKZYBDXHMZBDK-SCRDCRAPSA-K
Farnesyl diphosphate	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	VWFJDQUYCIWHTN-YFVJMOTDSA-K
Fe(III)dicitrate	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Fe+3]	VAVAILGEOMLRRK-UHFFFAOYSA-H
Fe(III)hydoxamate, unloaded	[*]C(=O)N[O-].[*]C(=O)N[O-].[*]C(=O)N[O-]	
Fe(III)hydroxamate	[1*]C1=[O][Fe]23([O]N1)([O]NC([2*])=[O]2)[O]NC([3*])=[O]3	
Fe-enterobactin	O=C1N[C@H]2COC(=O)[C@@H]3COC(=O)[C@H](COC2=O)NC(=O)c2cccc4c2O[Fe-3]25(Oc6cccc1c6O2)(Oc1cccc(c1O5)C(=O)N3)O4	NGILTSZTOFYVBF-UVJOBNTFSA-H
Fe2+ mitochondria	[Fe+2]	CWYNVVGOOAEACU-UHFFFAOYSA-N
Ferrichrome	CC1=[O+][Fe-3]2345ON1CCC[C@@H]1NC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](CCCN(O2)C(C)=[O+]3)NC(=O)[C@H](CCCN(O4)C(C)=[O+]5)NC1=O	GGUNGDGGXMHBMJ-OCIDDWSYSA-N
Flavin adenine dinucleotide oxidized	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	VWWQXMAJTJZDQX-UYBVJOGSSA-N
Flavin adenine dinucleotide reduced	Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2	YPZRHBJKEMOYQH-UYBVJOGSSA-L
Fluoride	[F-]	KRHYYFGTRYWZRS-UHFFFAOYSA-M
Formaldehyde	C=O	WSFSSNUMVMOOMR-UHFFFAOYSA-N
Formate	O=C[O-]	BDAGIHXWWSANSR-UHFFFAOYSA-M
Formyl-CoA(4-)	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC=O	SXMOKYXNAPLNCW-GORZOVPNSA-J
Fructoselysine	[NH3+][C@@H](CCCC[NH2+]CC(=O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)[O-]	BFSYFTQDGRDJNV-AYHFEMFVSA-O
Fructoselysine Phosphate	[NH3+]C(CCCC[NH2+]C1OC(COP(=O)([O-])O)C(O)C(O)C1O)C(=O)[O-]	QIDCVMFXCBUXKB-UHFFFAOYSA-N
Fumarate	O=C([O-])/C=C/C(=O)[O-]	VZCYOOQTPOCHFL-OWOJBTEDSA-L
Fused thiol:disulfide interchange protein (oxidized)	[*]	
Fused thiol:disulfide interchange protein (reduced)	[*]	
Fusidic acid	CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)[O-]	IECPWNUMDGFDKC-MZJAQBGESA-M
GDP	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1	QGWNDRXFNXRZMB-UUOKFMHZSA-K
GDP-4-dehydro-6-deoxy-D-mannose	C[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)C1=O	PNHLMHWWFOPQLK-BKUUWRAGSA-L
GDP-4-oxo-L-fucose	C[C@@H]1OC(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)nc(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)C1=O	PNHLMHWWFOPQLK-WAMCPPDZSA-N
GDP-D-mannose	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	MVMSCBBUIHUTGJ-GDJBGNAASA-L
GDP-L-fucose	C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	LQEBEXMHBLQMDB-JGQUBWHWSA-L
GMP	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1	RQFCJASXJCIDSX-UUOKFMHZSA-L
GTP	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1	XKMLYUALXHKNFT-UUOKFMHZSA-J
Galactitol	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	FBPFZTCFMRRESA-GUCUJZIJSA-N
Galactitol 1-phosphate	O=P([O-])([O-])OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	GACTWZZMVMUKNG-DPYQTVNSSA-L
Galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	CC1C(C(C(C(O1)OC2C(C(OC(C2O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C)OC(=O)C)OC3C(C(C(C(O3)COC4C(C(C(O4)C(CO)O)O)O)O)O)O)O	SOZYQWIVOMQYML-KIWKAZHESA-L
Galactosyl-glucosyl-inner core oligosaccharide lipid A	CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)([O-])[O-])COC2(CC(C(C(O2)C(CO)O)OC3C(C(C(C(O3)C(CO)O)OP(=O)([O-])[O-])OC4C(C(C(C(O4)C(COC5C(C(C(C(O5)C(CO)O)O)O)O)O)OP(=O)([O-])[O-])OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)O)O)O)O)OC8(CC(C(C(O8)C(CO)O)O)OC9(CC(C(C(O9)C(CO)O)OC1C(C(C(C(O1)C)O)O)O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-])OCC1C(C(C(C(O1)OP(=O)([O-])[O-])NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	KHKIHAMHCBLKAG-JYIDRQHKSA-C
Gamma-L-Glutamyl-L-cysteine	[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)[O-])C(=O)[O-]	RITKHVBHSGLULN-WHFBIAKZSA-M
Gamma-butyrobetaine	C[N+](C)(C)CCCC(=O)[O-]	JHPNVNIEXXLNTR-UHFFFAOYSA-N
Gamma-butyrobetainyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC[N+](C)(C)C	QAMRRBGWSPTAEJ-SVHODSNWSA-K
Gamma-glutamyl-gamma aminobutyric acid	[NH3+][C@@H](CCC(=O)NCCCC(=O)[O-])C(=O)[O-]	MKYPKZSGLSOGLL-LURJTMIESA-M
Gamma-glutamyl-gamma-butyraldehyde	[NH3+][C@@H](CCC(=O)NCCCC=O)C(=O)[O-]	JZNLEPLZUABCSQ-ZETCQYMHSA-N
Gamma-glutamyl-putrescine	NCCCCNC(=O)CCC(N)C(=O)O	WKGTVHGVLRCTCF-UHFFFAOYSA-N
Gamma-hydroxybutyrate	O=C([O-])CCCO	SJZRECIVHVDYJC-UHFFFAOYSA-M
Generic ferrioxamine-Fe-III	CC1=[O]->[Fe]2345<-[O]=C(CCC(=O)NCCCCCN([O]2)C(=[O]->3)CCC(=O)NCCCCCN1[O]4)N(CCCCCN)[O]5	
Geranyl diphosphate	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	GVVPGTZRZFNKDS-JXMROGBWSA-K
Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	CC1C(C(C(C(O1)OC2C(C(OC(C2O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C)OC(=O)C)OC3C(C(C(C(O3)CO)O)O)O)O	QZKSQRMITRSRFM-QUNHHUOXSA-L
Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)([O-])[O-])COC2(CC(C(C(O2)C(CO)O)OC3C(C(C(C(O3)C(CO)O)OP(=O)([O-])[O-])OC4C(C(C(C(O4)C(COC5C(C(C(C(O5)C(CO)O)O)O)O)O)OP(=O)([O-])[O-])OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)OC9(CC(C(C(O9)C(CO)O)O)OC1(CC(C(C(O1)C(CO)O)OC1C(C(C(C(O1)C)O)O)O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-])OCC1C(C(C(C(O1)OP(=O)([O-])[O-])NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	XAGXJFJJOGQDDH-MSWHYDLXSA-C
Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)([O-])[O-])COC2(CC(C(C(O2)C(CO)O)OC3C(C(C(C(O3)C(CO)O)OP(=O)([O-])[O-])OC4C(C(C(C(O4)C(COC5C(C(C(C(O5)C(CO)O)O)O)O)O)OP(=O)([O-])[O-])OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)OC1(CC(C(C(O1)C(CO)O)O)OC1(CC(C(C(O1)C(CO)O)OC1C(C(C(C(O1)C)O)O)O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-])OCC1C(C(C(C(O1)OP(=O)([O-])[O-])NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	UEXAUCWUYXEMND-VPWIFIFJSA-C
Glutathionylspermidine	[NH3+]CCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-]	NEDQLXHBVHSKNV-STQMWFEESA-P
Glyceraldehyde 3-phosphate	O=CC(O)COP(=O)(O)O	LXJXRIRHZLFYRP-UHFFFAOYSA-N
Glycerol	OCC(O)CO	PEDCQBHIVMGVHV-UHFFFAOYSA-N
Glycerol 2-phosphate	O=P([O-])([O-])OC(CO)CO	DHCLVCXQIBBOPH-UHFFFAOYSA-L
Glycerol 3-phosphate	O=P([O-])([O-])OC[C@H](O)CO	AWUCVROLDVIAJX-GSVOUGTGSA-L
Glycerophosphoglycerol	O=P([O-])(OCC(O)CO)OCC(O)CO	LLCSXHMJULHSJN-UHFFFAOYSA-M
Glycerophosphoserine	[NH3+][C@@H](COP(=O)([O-])OC[C@H](O)CO)C(=O)[O-]	ZWZWYGMENQVNFU-UHNVWZDZSA-M
Glycine	[NH3+]CC(=O)[O-]	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Glycine betaine	C[N+](C)(C)CC(=O)[O-]	KWIUHFFTVRNATP-UHFFFAOYSA-N
Glycogen		BYSGBSNPRWKUQH-UJDJLXLFSA-N
Glycolaldehyde	O=CCO	WGCNASOHLSPBMP-UHFFFAOYSA-N
Glycolate	O=C([O-])CO	AEMRFAOFKBGASW-UHFFFAOYSA-M
Glyoxylate	O=CC(=O)[O-]	HHLFWLYXYJOTON-UHFFFAOYSA-M
Guanine	Nc1nc2[nH]cnc2c(=O)[nH]1	UYTPUPDQBNUYGX-UHFFFAOYSA-N
Guanosine	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	NYHBQMYGNKIUIF-UUOKFMHZSA-N
Guanosine 3  phosphate	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1	ZDPUTNZENXVHJC-UUOKFMHZSA-L
Guanosine 3',5'-bis(diphosphate)	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1	BUFLLCUFNHESEH-UUOKFMHZSA-I
Guanosine 3'-diphosphate 5'-triphosphate	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])O)[C@H]2O)c(=O)[nH]1	KCPMACXZAITQAX-UUOKFMHZSA-H
H+	[H+]	GPRLSGONYQIRFK-UHFFFAOYSA-N
H2O	[H]O[H]	XLYOFNOQVPJJNP-UHFFFAOYSA-N
Heme O	C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)[O-])c4n1[Fe-2]31n3c(c(C)c([C@@H](O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)[O-])=C2C	FISPASSVCDRERW-ARQJTVBPSA-J
Hepta-acylated core oligosaccharide lipid A (E. coli)	CCCCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O[C@]4(C(=O)[O-])C[C@@H](O[C@]5(C(=O)[O-])C[C@@H](O)[C@@H](O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@@H]([C@H](O)CO)O5)[C@@H](O)[C@@H]([C@H](O)CO)O4)[C@@H](O[C@H]4O[C@H]([C@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]5O[C@H]([C@H](O)CO[C@H]6O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]6O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@H](CO[C@H]8OC([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]8O)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@@H]5O)[C@@H]4O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)[C@H]2NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	VQLWGPMXDVGIPI-NACBSPIASA-C
Heptosyl-heptosyl-kdo2-lipidA	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O[C@H]4O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	HHPCMWTVGVTYIC-CFEULOSXSA-H
Heptosyl-kdo2-lipidA	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	HPDZKCJEWNZSML-YOZKHJKSSA-H
Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	OCKKDDJUVZAABC-WTGYBBRTSA-F
Hexadecanoate (n-C16:0)	CCCCCCCCCCCCCCCC(=O)[O-]	IPCSVZSSVZVIGE-UHFFFAOYSA-M
Hexanoate (n-C6:0)	CCCCCC(=O)[O-]	FUZZWVXGSFPDMH-UHFFFAOYSA-M
Hydrogen	[H][H]	UFHFLCQGNIYNRP-UHFFFAOYSA-N
Hydrogen cyanide	C#N	LELOWRISYMNNSU-UHFFFAOYSA-N
Hydrogen peroxide	[O-][O-]	ANAIPYUSIMHBEL-UHFFFAOYSA-N
Hydrogen sulfide	[SH-]	RWSOTUBLDIXVET-UHFFFAOYSA-M
Hydroquinone	Oc1ccc(O)cc1	QIGBRXMKCJKVMJ-UHFFFAOYSA-N
Hydroxymethylbilane	O=C([O-])CCc1c[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]c(CO)c(CC(=O)[O-])c4CCC(=O)[O-])c(CC(=O)[O-])c3CCC(=O)[O-])c(CC(=O)[O-])c2CCC(=O)[O-])c1CC(=O)[O-]	WDFJYRZCZIUBPR-UHFFFAOYSA-F
Hydroxymethylglutathione	[NH3+][C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)[O-])C(=O)[O-]	PIUSLWSYOYFRFR-BQBZGAKWSA-M
Hydroxypyruvate	O=C([O-])C(=O)CO	HHDDCCUIIUWNGJ-UHFFFAOYSA-M
Hypoxanthine	O=c1[nH]cnc2nc[nH]c12	FDGQSTZJBFJUBT-UHFFFAOYSA-N
IDP	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	JPXZQMKKFWMMGK-KQYNXXCUSA-K
IMP	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	GRSZFWQUAKGDAV-KQYNXXCUSA-L
ITP	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	HAEJPQIATWHALX-KQYNXXCUSA-J
Iminoaspartate	[NH2+]=C(CC(=O)[O-])C(=O)[O-]	NMUOATVLLQEYHI-UHFFFAOYSA-M
Indole	c1ccc2[nH]ccc2c1	SIKJAQJRHWYJAI-UHFFFAOYSA-N
Inorganic triphosphate	O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-]	UNXRWKVEANCORM-UHFFFAOYSA-I
Inosine	OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O	UGQMRVRMYYASKQ-KQYNXXCUSA-N
Iron (Fe3+)	[Fe+3]	VTLYFUHAOXGGBS-UHFFFAOYSA-N
Isethionic acid	O=S(=O)([O-])CCO	SUMDYPCJJOFFON-UHFFFAOYSA-M
Isochorismate	C=C(O[C@H]1C=CC=C(C(=O)[O-])[C@@H]1O)C(=O)[O-]	NTGWPRCCOQCMGE-YUMQZZPRSA-L
Isocitrate	O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]	ODBLHEXUDAPZAU-UHFFFAOYSA-K
Isopentenyl diphosphate	C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]	NUHSROFQTUXZQQ-UHFFFAOYSA-K
KDO(2)-lipid	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O[C@]4(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	XAOLJGCZESYRFT-VHSKNIDJSA-H
KDO(2)-lipid (A)	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	DIXUKJUHGLIZGU-OIPVZEHTSA-H
KDO(2)-lipid IV(A) with laurate	CCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)[C@@H](OP(=O)([O-])[O-])[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	JVUUYJGQIVCMIU-ZODGSCPMSA-H
KDO-lipid	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	GPNCBCJEDRRCDW-ACUQGRCXSA-I
L Cystine	[NH3+][C@@H](CSSC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	LEVWYRKDKASIDU-IMJSIDKUSA-N
L-2-Amino-3-oxobutanoate	CC(=O)[C@H]([NH3+])C(=O)[O-]	SAUCHDKDCUROAO-VKHMYHEASA-N
L-Alanine	C[C@H]([NH3+])C(=O)[O-]	QNAYBMKLOCPYGJ-REOHCLBHSA-N
L-Allo-threonine	C[C@H](O)[C@H]([NH3+])C(=O)[O-]	AYFVYJQAPQTCCC-HRFVKAFMSA-N
L-Arabinose	O=C[C@H](O)[C@@H](O)[C@@H](O)CO	PYMYPHUHKUWMLA-VAYJURFESA-N
L-Arginine	NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]	ODKSFYDXXFIFQN-BYPYZUCNSA-O
L-Ascorbate	O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O	CIWBSHSKHKDKBQ-JLAZNSOCSA-M
L-Asparagine	NC(=O)CC(N)C(=O)O	DCXYFEDJOCDNAF-UHFFFAOYSA-N
L-Aspartate	NC(CC(=O)O)C(=O)O	CKLJMWTZIZZHCS-UHFFFAOYSA-N
L-Aspartate 4-semialdehyde	[NH3+][C@@H](CC=O)C(=O)[O-]	HOSWPDPVFBCLSY-VKHMYHEASA-N
L-Carnitine	C[N+](C)(C)C[C@H](O)CC(=O)[O-]	PHIQHXFUZVPYII-ZCFIWIBFSA-N
L-Carnitinyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C	BBRISSLDTUHWKG-PVMHLSDZSA-K
L-Citrulline	NC(=O)NCCCC(N)C(=O)O	RHGKLRLOHDJJDR-UHFFFAOYSA-N
